2025-03-31T21:49:33.037521Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 540, leaf_nodes: 31, hashed_cursor_seek_count: 583, hashed_cursor_advance_count: 31, walker_advance_count: 583 }
2025-03-31T21:49:33.037830Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.039589Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 506, leaf_nodes: 39, hashed_cursor_seek_count: 563, hashed_cursor_advance_count: 39, walker_advance_count: 563 }
2025-03-31T21:49:33.040816Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 413, leaf_nodes: 26, hashed_cursor_seek_count: 447, hashed_cursor_advance_count: 26, walker_advance_count: 447 }
2025-03-31T21:49:33.041234Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 322, leaf_nodes: 10, hashed_cursor_seek_count: 338, hashed_cursor_advance_count: 10, walker_advance_count: 338 }
2025-03-31T21:49:33.042952Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.043036Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 11, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 11, walker_advance_count: 1 }
2025-03-31T21:49:33.044476Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.045494Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.046851Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.046956Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 3, leaf_nodes: 41, hashed_cursor_seek_count: 11, hashed_cursor_advance_count: 41, walker_advance_count: 11 }
2025-03-31T21:49:33.048279Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.049708Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.050157Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.053646Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 7, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 7, walker_advance_count: 1 }
2025-03-31T21:49:33.054487Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 830, leaf_nodes: 68, hashed_cursor_seek_count: 939, hashed_cursor_advance_count: 68, walker_advance_count: 939 }
2025-03-31T21:49:33.057272Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 318, leaf_nodes: 12, hashed_cursor_seek_count: 336, hashed_cursor_advance_count: 12, walker_advance_count: 336 }
2025-03-31T21:49:33.060356Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 337, leaf_nodes: 11, hashed_cursor_seek_count: 349, hashed_cursor_advance_count: 11, walker_advance_count: 349 }
2025-03-31T21:49:33.060646Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 145, leaf_nodes: 84, hashed_cursor_seek_count: 224, hashed_cursor_advance_count: 84, walker_advance_count: 224 }
2025-03-31T21:49:33.062178Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 287, leaf_nodes: 20, hashed_cursor_seek_count: 308, hashed_cursor_advance_count: 20, walker_advance_count: 308 }
2025-03-31T21:49:33.066175Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.066200Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 5, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 5, walker_advance_count: 1 }
2025-03-31T21:49:33.066453Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 574, leaf_nodes: 42, hashed_cursor_seek_count: 632, hashed_cursor_advance_count: 42, walker_advance_count: 632 }
2025-03-31T21:49:33.066783Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 273, leaf_nodes: 6, hashed_cursor_seek_count: 280, hashed_cursor_advance_count: 6, walker_advance_count: 280 }
2025-03-31T21:49:33.067099Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.067123Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 5, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 5, walker_advance_count: 1 }
2025-03-31T21:49:33.067237Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 317, leaf_nodes: 11, hashed_cursor_seek_count: 330, hashed_cursor_advance_count: 11, walker_advance_count: 330 }
2025-03-31T21:49:33.067353Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 12, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 12, walker_advance_count: 3 }
2025-03-31T21:49:33.068630Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 389, leaf_nodes: 13, hashed_cursor_seek_count: 412, hashed_cursor_advance_count: 13, walker_advance_count: 412 }
2025-03-31T21:49:33.068726Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.069978Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 380, leaf_nodes: 14, hashed_cursor_seek_count: 402, hashed_cursor_advance_count: 14, walker_advance_count: 402 }
2025-03-31T21:49:33.070920Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 319, leaf_nodes: 7, hashed_cursor_seek_count: 331, hashed_cursor_advance_count: 7, walker_advance_count: 331 }
2025-03-31T21:49:33.071105Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 14, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 14, walker_advance_count: 1 }
2025-03-31T21:49:33.071653Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 255, leaf_nodes: 1, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 1, walker_advance_count: 256 }
2025-03-31T21:49:33.073301Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.073593Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 142, leaf_nodes: 69, hashed_cursor_seek_count: 210, hashed_cursor_advance_count: 69, walker_advance_count: 210 }
2025-03-31T21:49:33.073660Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 13, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 13, walker_advance_count: 1 }
2025-03-31T21:49:33.074370Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.074439Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 16, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 16, walker_advance_count: 1 }
2025-03-31T21:49:33.074969Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 11, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 11, walker_advance_count: 1 }
2025-03-31T21:49:33.075173Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 10, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 10, walker_advance_count: 1 }
2025-03-31T21:49:33.078024Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 758, leaf_nodes: 63, hashed_cursor_seek_count: 855, hashed_cursor_advance_count: 63, walker_advance_count: 855 }
2025-03-31T21:49:33.078144Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 1, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 1, walker_advance_count: 1 }
2025-03-31T21:49:33.079410Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 331, leaf_nodes: 46, hashed_cursor_seek_count: 368, hashed_cursor_advance_count: 46, walker_advance_count: 368 }
2025-03-31T21:49:33.080187Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 298, leaf_nodes: 4, hashed_cursor_seek_count: 302, hashed_cursor_advance_count: 4, walker_advance_count: 302 }
2025-03-31T21:49:33.081506Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 450, leaf_nodes: 22, hashed_cursor_seek_count: 483, hashed_cursor_advance_count: 22, walker_advance_count: 483 }
2025-03-31T21:49:33.082061Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 299, leaf_nodes: 3, hashed_cursor_seek_count: 303, hashed_cursor_advance_count: 3, walker_advance_count: 303 }
2025-03-31T21:49:33.083725Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.085900Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 313, leaf_nodes: 7, hashed_cursor_seek_count: 323, hashed_cursor_advance_count: 7, walker_advance_count: 323 }
2025-03-31T21:49:33.086268Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.088114Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 578, leaf_nodes: 41, hashed_cursor_seek_count: 637, hashed_cursor_advance_count: 41, walker_advance_count: 637 }
